Sequence,Speaker,Utterance,Column1
510,M1:,...(1.2)那個林不是去開發金 ?,
511,M2:,(0)喔對林也不喜歡他嘛 .,
512,M1:,"(0)喔對 ,",
513,M1:,..也是 .,
514,M1:,..他那個人緣太差了 .,
515,M2:,"(0)對呀 ,",
,M2:,"因為他那時候 ,",
,M2:,"玩那些無聊的東西 ,",
516,M2:,"..還管東管西的 ,",
,M2:,得罪很多人嘛 .,
517,M1:,(0)um .,
,M1:,林脾氣比他更大好不好 .,
518,M2:,(0)um .,
519,M1:,"...林尤其是在白總那邊 ,",
520,M1:,...(0.7)更得寵@ .,
521,M2:,..um .,
,M2:,應該是 .,
