Turn,Speaker,Utterance
59,F1:, [[就 一直 去]] Seven買 東西 啊
60,F2:, .. 沒有
60,F2:, .. 我 發覺
60,F2:, .. 有 一些 Seven
60,F2:, .. 它 是 某 種 特定 的 磁鐵 會 比 較 多 一 點
60,F2:, .. 比如 說
60,F2:, .. 這 地方
60,F2:, .. 這 一 個 就 很多
61,F1:, .. 對 啊 對 啊 對 啊
62,F2:, .. 然 後[另外 一 個 地方]
63,F1:, [所以 它 很多] 重複 啊
63,F1:, .. 像
64,F2:, .. 對 啊
65,F1:, .. 很多 東西 都 重複
65,F1:, .. uh
65,F1:, .. 它 好像 是
65,F1:, ... 因為 我 叔叔 會 去
65,F1:, ... 有 時候 會
65,F1:, .. 台北 台中
65,F1:, .. 就是 南北
65,F1:, .. 這樣 就是 幫忙 運貨 啊
65,F1:, ... 什麼
66,F2:, .. 所以 [[就]]
67,F1:, [[然 後]] 他 常常
67,F1:, .. 他 一定 會 去 Seven 啊
67,F1:, .. 他 每天 都 會 去 Seven買 東西
67,F1:, .. 那 你 看
67,F1:, .. 南北 運 貨這 樣子
67,F1:, .. 全 台灣 就 有 [[[了]]]
68,F2:, [[[難]]]怪 可以 這樣 收集
69,F1:, .. 而且
69,F1:, .. 他 不只 國家 喔
69,F1:, ... 還有 春夏 秋冬
69,F1:, ... 剩下 他 全部 都
69,F1:, .. 那 個
69,F1:, ... 還 有
69,F1:, .. 各 個 甚麼 人物
69,F1:, .. 還有 那 個
69,F1:, ... 百 寶
70,F2:, .. 好 厲害 喔
71,F1:, .. 百寶箱 那 個 喔
71,F1:, .. 就是
71,F1:, .. 他 的 道具 啊
71,F1:, ... 就是
71,F1:, .. anyway
71,F1:, .. 就是 他 收齊 了 一 套
71,F1:, .. 我 說 的 齊 是
71,F1:, .. 很 齊 的 那 種
71,F1:, .. 全部 都 有的 那 種
72,F2:, ... 是 喔
72,F2:, .. 所以
72,F2:, .. 那 現 在 有 甚麼
72,F2:, .. 國家 的
72,F2:, .. 春夏 秋冬 的
73,F1:, .. 還 有 人物 啊
73,F1:, .. 比如 說 小 叮鈴
73,F1:, .. [阿福 技安] 那 種
74,F2:, [小叮 噹]
74,F2:, .. 小 叮鈴 那 種 人物 的
74,F2:, .. 然後 還
74,F2:, .. 還 有 呢
75,F1:, .. 還有 就是
75,F1:, .. 他 的 那 個 道具 啊
75,F1:, .. 小 叮噹 的 道具
75,F1:, .. 有 六 種
76,F2:, .. 甚 麼道 具
77,F1:, .. 就是 比如 說
77,F1:, .. [[任意 門 啊]]
78,F2:, [[百寶袋]]
78,F2:, .. 竹蜻 蜓 喔
79,F1:, .. 我 基本上 我 沒 看 清楚
80,F2:, .. 時光 機
81,F1:, .. 因為 就 貼 滿滿 的 啊
82,F2:, .. 所以 就是
83,F1:, .. 然後 其他 的
83,F1:, .. 他 就
